ts,ts,min,max,mean,delta_t,integ,rmsd,doors
2017-12-31 01:06:00,2017-12-31 01:06:00,23.0,23.0,23.0,0.0,0.0,0.0,1.0
2017-12-31 01:26:00,2017-12-31 01:26:00,23.1,23.1,23.1,0.0,0.0,0.0,1.0
2017-12-31 01:40:00,2017-12-31 01:40:00,23.3,23.3,23.3,0.0,0.0,0.0,1.0
2017-12-31 01:42:00,2017-12-31 01:42:00,23.1,23.1,23.1,0.0,0.0,0.0,1.0
2017-12-31 01:48:00,2017-12-31 01:48:00,23.1,23.1,23.1,0.0,0.0,0.0,1.0
2017-12-31 01:52:00,2017-12-31 01:52:00,23.0,23.0,23.0,0.0,0.0,0.0,1.0
2017-12-31 01:58:00,2017-12-31 01:58:00,22.9,22.9,22.9,0.0,0.0,0.0,1.0
2017-12-31 02:06:00,2017-12-31 02:06:00,22.8,22.8,22.8,0.0,0.0,0.0,1.0
2017-12-31 02:18:00,2017-12-31 02:18:00,22.6,22.6,22.6,0.0,0.0,0.0,1.0
2017-12-31 02:36:00,2017-12-31 02:36:00,22.6,22.6,22.6,0.0,0.0,0.0,1.0
2017-12-31 02:42:00,2017-12-31 02:42:00,22.5,22.6,22.55,0.0,2.2550000000000323,0.10000000000000142,1.0
2017-12-31 02:56:00,2017-12-31 02:56:00,22.8,22.8,22.8,0.0,0.0,0.0,1.0
2017-12-31 03:12:00,2017-12-31 03:12:00,22.7,22.7,22.7,0.0,0.0,0.0,1.0
2017-12-31 03:34:00,2017-12-31 03:34:00,22.5,22.8,22.65,0.0,6.795000000000017,0.3000000000000007,1.0
2017-12-31 03:38:00,2017-12-31 03:38:00,22.6,22.8,22.700000000000003,0.0,4.539999999999985,0.1999999999999993,1.0
2017-12-31 03:44:00,2017-12-31 03:44:00,22.8,22.8,22.8,0.0,0.0,0.0,1.0
2017-12-31 04:02:00,2017-12-31 04:02:00,22.6,22.6,22.6,0.0,0.0,0.0,1.0
2017-12-31 04:48:00,2017-12-31 04:48:00,22.6,22.6,22.6,0.0,0.0,0.0,1.0
2017-12-31 05:00:00,2017-12-31 05:00:00,22.5,22.5,22.5,0.0,0.0,0.0,1.0
2017-12-31 05:16:00,2017-12-31 05:16:00,22.5,22.5,22.5,0.0,0.0,0.0,1.0
2017-12-31 05:26:00,2017-12-31 05:26:00,22.4,22.4,22.4,0.0,0.0,0.0,1.0
2017-12-31 05:28:00,2017-12-31 05:28:00,22.5,22.5,22.5,0.0,0.0,0.0,1.0
2017-12-31 05:30:00,2017-12-31 05:30:00,22.6,22.6,22.6,0.0,0.0,0.0,1.0
2017-12-31 05:32:00,2017-12-31 05:32:00,22.8,22.8,22.8,0.0,0.0,0.0,1.0
2017-12-31 05:38:00,2017-12-31 05:38:00,22.9,22.9,22.9,0.0,0.0,0.0,1.0
2017-12-31 05:44:00,2017-12-31 05:44:00,23.0,23.0,23.0,0.0,0.0,0.0,1.0
2017-12-31 05:52:00,2017-12-31 05:52:00,23.2,23.2,23.2,0.0,0.0,0.0,1.0
2017-12-31 05:54:00,2017-12-31 05:54:00,23.3,23.3,23.3,0.0,0.0,0.0,1.0
2017-12-31 05:58:00,2017-12-31 05:58:00,23.4,23.4,23.4,0.0,0.0,0.0,1.0
2017-12-31 06:02:00,2017-12-31 06:02:00,23.5,23.7,23.6,0.0,4.719999999999984,0.1999999999999993,1.0
2017-12-31 06:12:00,2017-12-31 06:12:00,23.6,23.6,23.6,0.0,0.0,0.0,1.0
2017-12-31 06:22:00,2017-12-31 06:22:00,23.4,23.4,23.4,0.0,0.0,0.0,1.0
2017-12-31 07:02:00,2017-12-31 07:02:00,23.3,23.3,23.3,0.0,0.0,0.0,1.0
2017-12-31 07:06:00,2017-12-31 07:06:00,23.4,23.4,23.4,0.0,0.0,0.0,1.0
2017-12-31 07:08:00,2017-12-31 07:08:00,23.3,23.3,23.3,0.0,0.0,0.0,1.0
2017-12-31 07:10:00,2017-12-31 07:10:00,23.2,23.2,23.2,0.0,0.0,0.0,1.0
2017-12-31 07:14:00,2017-12-31 07:14:00,23.1,23.1,23.1,0.0,0.0,0.0,1.0
2017-12-31 07:18:00,2017-12-31 07:18:00,22.9,22.9,22.9,0.0,0.0,0.0,1.0
2017-12-31 07:20:00,2017-12-31 07:20:00,22.8,22.8,22.8,0.0,0.0,0.0,1.0
2017-12-31 07:24:00,2017-12-31 07:24:00,22.6,22.6,22.6,0.0,0.0,0.0,1.0
2017-12-31 07:28:00,2017-12-31 07:28:00,22.5,22.5,22.5,0.0,0.0,0.0,1.0
2017-12-31 07:32:00,2017-12-31 07:32:00,22.4,22.4,22.4,0.0,0.0,0.0,1.0
2017-12-31 07:36:00,2017-12-31 07:36:00,22.2,22.2,22.2,0.0,0.0,0.0,1.0
2017-12-31 07:40:00,2017-12-31 07:40:00,22.1,22.1,22.1,0.0,0.0,0.0,1.0
2017-12-31 07:42:00,2017-12-31 07:42:00,22.0,22.0,22.0,0.0,0.0,0.0,1.0
2017-12-31 07:48:00,2017-12-31 07:48:00,21.8,21.8,21.8,0.0,0.0,0.0,1.0
2017-12-31 07:52:00,2017-12-31 07:52:00,21.7,21.7,21.7,0.0,0.0,0.0,1.0
2017-12-31 07:56:00,2017-12-31 07:56:00,21.6,21.6,21.6,0.0,0.0,0.0,1.0
2017-12-31 08:00:00,2017-12-31 08:00:00,21.5,21.5,21.5,0.0,0.0,0.0,1.0
2017-12-31 09:02:00,2017-12-31 09:02:00,21.3,21.3,21.3,0.0,0.0,0.0,1.0
2017-12-31 09:08:00,2017-12-31 09:08:00,21.5,21.5,21.5,0.0,0.0,0.0,1.0
2017-12-31 09:36:00,2017-12-31 09:36:00,21.3,21.3,21.3,0.0,0.0,0.0,1.0
2017-12-31 09:48:00,2017-12-31 09:48:00,21.5,21.5,21.5,0.0,0.0,0.0,1.0
2017-12-31 14:20:00,2017-12-31 14:20:00,21.5,21.5,21.5,0.0,0.0,0.0,1.0
2017-12-31 14:22:00,2017-12-31 14:22:00,21.5,21.5,21.5,0.0,0.0,0.0,0.0
2017-12-31 14:26:00,2017-12-31 14:26:00,21.5,21.5,21.5,0.0,0.0,0.0,0.5
2017-12-31 14:52:00,2017-12-31 14:52:00,21.5,21.5,21.5,0.0,0.0,0.0,1.0
2017-12-31 15:14:00,2017-12-31 15:14:00,21.3,23.1,22.200000000000003,0.0,39.96000000000003,1.8000000000000007,0.0
2017-12-31 15:16:00,2017-12-31 15:16:00,23.1,23.3,23.200000000000003,0.0,4.639999999999984,0.1999999999999993,0.0
2017-12-31 15:18:00,2017-12-31 15:18:00,23.4,23.5,23.45,0.0,2.345000000000033,0.10000000000000142,0.0
2017-12-31 15:22:00,2017-12-31 15:22:00,23.6,23.6,23.6,0.0,0.0,0.0,0.0
2017-12-31 15:24:00,2017-12-31 15:24:00,23.8,23.8,23.8,0.0,0.0,0.0,0.0
2017-12-31 15:26:00,2017-12-31 15:26:00,23.9,23.9,23.9,0.0,0.0,0.0,0.0
2017-12-31 15:30:00,2017-12-31 15:30:00,24.1,24.1,24.1,0.0,0.0,0.0,0.0
2017-12-31 15:34:00,2017-12-31 15:34:00,24.2,24.2,24.2,0.0,0.0,0.0,0.0
2017-12-31 15:38:00,2017-12-31 15:38:00,24.3,24.3,24.3,0.0,0.0,0.0,0.0
2017-12-31 15:40:00,2017-12-31 15:40:00,24.2,24.2,24.2,0.0,0.0,0.0,0.0
2017-12-31 15:44:00,2017-12-31 15:44:00,24.3,24.3,24.3,0.0,0.0,0.0,0.0
2017-12-31 15:50:00,2017-12-31 15:50:00,24.4,24.4,24.4,0.0,0.0,0.0,0.0
