delta_t,min_temp,max_temp,mean,integ,rmsd,doors,cabine
0.0,0.869230769231,0.896153846154,0.884188034188,0.023764792899408298,0.02692307692307694,1.0,1.0
0.0,0.865384615385,0.876923076923,0.870879120879,0.010051775147928958,0.011538461538461497,1.0,0.0
0.0,0.869230769231,0.876923076923,0.873076923077,0.006715976331360924,0.007692307692307665,1.0,1.0
0.0230769230769,0.819230769231,0.911538461538,0.863919413919,0.07988165680473375,0.09230769230769231,0.9523809523809523,0.0
0.0,0.819230769231,0.938461538462,0.91266025641,0.10478550295857993,0.11923076923076925,0.0,1.0
0.0,0.888461538462,0.896153846154,0.892948717949,0.006863905325443762,0.007692307692307665,0.5,0.0
0.0,0.830769230769,0.892307692308,0.86124260355,0.053017751479289846,0.06153846153846143,1.0,1.0
0.0,0.826923076923,0.838461538462,0.831730769231,0.009607988165680531,0.011538461538461608,1.0,0.0
0.0,0.819230769231,0.826923076923,0.823076923077,0.006331360946745538,0.007692307692307665,1.0,1.0
0.0,0.819230769231,0.884615384615,0.850769230769,0.05570266272189348,0.06538461538461537,1.0,0.0
0.0,0.869230769231,0.888461538462,0.880769230769,0.01690088757396454,0.019230769230769273,1.0,1.0
0.0,0.865384615385,0.888461538462,0.879370629371,0.02023668639053257,0.023076923076923106,1.0,0.0
0.0,0.873076923077,0.892307692308,0.883974358974,0.016974852071005856,0.019230769230769162,1.0,1.0
0.0,0.869230769231,0.896153846154,0.879881656805,0.023764792899408298,0.02692307692307694,1.0,0.0
0.0,0.869230769231,0.880769230769,0.875961538462,0.01009615384615381,0.011538461538461497,1.0,1.0
0.0,0.865384615385,0.880769230769,0.873076923077,0.013431952662721848,0.01538461538461533,1.0,0.0
0.0,0.880769230769,0.880769230769,0.880769230769,0.0,0.0,1.0,1.0
0.0,0.880769230769,0.880769230769,0.880769230769,0.0,0.0,0.6666666666666666,0.0
0.0,0.884615384615,0.884615384615,0.884615384615,0.0,0.0,0.0,1.0
0.0,0.884615384615,0.919230769231,0.907692307692,0.031220414201183423,0.0346153846153846,0.0,0.0
0.0,0.919230769231,0.919230769231,0.919230769231,0.0,0.0,0.0,1.0
0.0,0.903846153846,0.926923076923,0.916239316239,0.021124260355029616,0.023076923076923106,0.3333333333333333,0.0
0.0,0.876923076923,0.903846153846,0.89010989011,0.023971893491124274,0.02692307692307694,1.0,1.0
0.0,0.876923076923,0.876923076923,0.876923076923,0.0,0.0,1.0,0.0
0.0,0.869230769231,0.876923076923,0.873076923077,0.006715976331360924,0.007692307692307665,1.0,1.0
0.0,0.869230769231,0.869230769231,0.869230769231,0.0,0.0,1.0,0.0
0.0,0.861538461538,0.869230769231,0.865384615385,0.0066568047337278845,0.007692307692307776,1.0,1.0
0.0,0.861538461538,0.896153846154,0.883216783217,0.030421597633136187,0.034615384615384714,0.6363636363636364,0.0
0.0,0.892307692308,0.892307692308,0.892307692308,0.0,0.0,0.0,1.0
0.0,0.880769230769,0.892307692308,0.889010989011,0.010229289940828364,0.011538461538461497,0.0,0.0
0.0,0.865384615385,0.892307692308,0.879487179487,0.023661242603550216,0.026923076923076827,0.0,1.0
0.0,0.861538461538,0.865384615385,0.864102564103,0.0033210059171598473,0.0038461538461539435,0.0,0.0
0.0,0.873076923077,0.876923076923,0.875,0.0033653846153846034,0.0038461538461538325,0.0,1.0
0.0,0.873076923077,0.876923076923,0.875,0.0033653846153846034,0.0038461538461538325,0.0,0.0
0.0,0.873076923077,0.873076923077,0.873076923077,0.0,0.0,0.0,1.0
0.0,0.873076923077,0.873076923077,0.873076923077,0.0,0.0,0.0,0.0
0.0,0.869230769231,0.869230769231,0.869230769231,0.0,0.0,1.0,1.0
0.0884615384615,0.819230769231,0.919230769231,0.854933954934,0.08692307692307691,0.09999999999999998,0.494949494949495,0.0
0.0,0.9,0.911538461538,0.904615384615,0.010451183431952723,0.011538461538461608,1.0,1.0
0.0884615384615,0.819230769231,0.926923076923,0.875299145299,0.09402366863905331,0.10769230769230775,1.0,0.0
0.0,0.861538461538,0.876923076923,0.868461538462,0.013372781065088806,0.015384615384615441,1.0,1.0
0.0,0.857692307692,0.873076923077,0.863846153846,0.013313609467455577,0.01538461538461533,1.0,0.0
0.0,0.853846153846,0.876923076923,0.864743589744,0.01997041420118346,0.023076923076923106,1.0,1.0
0.0,0.846153846154,0.892307692308,0.87100591716,0.04011834319526623,0.0461538461538461,1.0,0.0
0.0,0.873076923077,0.888461538462,0.88,0.013550295857988216,0.015384615384615441,1.0,1.0
0.0,0.865384615385,0.873076923077,0.870512820513,0.006686390532544355,0.007692307692307665,1.0,0.0
0.0,0.857692307692,0.880769230769,0.869230769231,0.020059171597633065,0.023076923076922995,1.0,1.0
0.0653846153846,0.834615384615,0.884615384615,0.861705685619,0.042980769230769274,0.050000000000000044,1.0,0.0
0.0230769230769,0.830769230769,0.892307692308,0.851041666667,0.053017751479289846,0.06153846153846143,0.0,1.0
0.0,0.865384615385,0.896153846154,0.884615384615,0.02710059171597633,0.03076923076923077,0.25,0.0
0.0,0.880769230769,0.892307692308,0.885897435897,0.010229289940828364,0.011538461538461497,1.0,1.0
0.0,0.865384615385,0.876923076923,0.873076923077,0.010051775147928958,0.011538461538461497,1.0,0.0
0.0,0.853846153846,0.876923076923,0.866483516484,0.01997041420118346,0.023076923076923106,1.0,1.0
0.0,0.85,0.888461538462,0.866538461538,0.03343195266272187,0.038461538461538436,1.0,0.0
0.0,0.861538461538,0.880769230769,0.871538461538,0.016752958579881693,0.019230769230769273,1.0,1.0
0.0,0.857692307692,0.888461538462,0.871153846154,0.02686390532544379,0.03076923076923077,1.0,0.0
0.0,0.846153846154,0.880769230769,0.864423076923,0.029889053254437862,0.0346153846153846,1.0,1.0
0.0,0.838461538462,0.876923076923,0.852884615385,0.03298816568047336,0.038461538461538436,0.3333333333333333,0.0
0.0,0.869230769231,0.880769230769,0.875961538462,0.01009615384615381,0.011538461538461497,0.0,1.0
0.0,0.861538461538,0.865384615385,0.863461538462,0.0033210059171598473,0.0038461538461539435,0.0,0.0
0.0,0.861538461538,0.861538461538,0.861538461538,0.0,0.0,0.0,1.0
0.0,0.861538461538,0.861538461538,0.861538461538,0.0,0.0,0.0,0.0
0.0,0.861538461538,0.865384615385,0.863461538462,0.0033210059171598473,0.0038461538461539435,0.0,1.0
0.0461538461538,0.834615384615,0.896153846154,0.863774597496,0.05325443786982259,0.06153846153846165,0.0,0.0
0.0,0.861538461538,0.892307692308,0.876923076923,0.02698224852071006,0.03076923076923077,0.0,1.0
0.0,0.857692307692,0.861538461538,0.859615384615,0.0033062130177513725,0.0038461538461537215,0.0,0.0
0.0,0.853846153846,0.857692307692,0.855769230769,0.0032914201183432785,0.0038461538461539435,0.0,1.0
0.0,0.846153846154,0.861538461538,0.854615384615,0.013136094674556164,0.01538461538461533,0.0,0.0
0.0,0.842307692308,0.861538461538,0.851282051282,0.01638313609467459,0.019230769230769273,0.0,1.0
0.0,0.842307692308,0.861538461538,0.85,0.01638313609467459,0.019230769230769273,0.3333333333333333,0.0
0.0,0.846153846154,0.865384615385,0.857051282051,0.016457100591716012,0.019230769230769273,1.0,1.0
0.0,0.842307692308,0.85,0.846153846154,0.006508875739645134,0.007692307692307887,1.0,0.0
0.0,0.85,0.857692307692,0.852564102564,0.0065680473372780835,0.007692307692307665,1.0,1.0
0.0461538461538,0.846153846154,0.9,0.871538461538,0.04701183431952656,0.053846153846153766,1.0,0.0
0.0,0.865384615385,0.896153846154,0.88021978022,0.02710059171597633,0.03076923076923077,1.0,1.0
0.0,0.865384615385,0.876923076923,0.871153846154,0.010051775147928958,0.011538461538461497,1.0,0.0
0.0,0.873076923077,0.876923076923,0.875,0.0033653846153846034,0.0038461538461538325,1.0,1.0
0.0,0.876923076923,0.876923076923,0.876923076923,0.0,0.0,1.0,0.0
0.0,0.873076923077,0.876923076923,0.875,0.0033653846153846034,0.0038461538461538325,1.0,1.0
0.0,0.873076923077,0.873076923077,0.873076923077,0.0,0.0,1.0,0.0
0.0,0.861538461538,0.873076923077,0.867948717949,0.010007396449704203,0.011538461538461608,1.0,1.0
0.0692307692308,0.830769230769,0.892307692308,0.851247401247,0.053017751479289846,0.06153846153846143,1.0,0.0
0.0,0.846153846154,0.880769230769,0.864423076923,0.029889053254437862,0.0346153846153846,1.0,1.0
0.0,0.842307692308,0.853846153846,0.845512820513,0.009785502958579939,0.011538461538461608,0.8333333333333334,0.0
0.0,0.853846153846,0.857692307692,0.855769230769,0.0032914201183432785,0.0038461538461539435,1.0,1.0
0.0,0.842307692308,0.853846153846,0.847435897436,0.009785502958579939,0.011538461538461608,1.0,0.0
0.0,0.842307692308,0.846153846154,0.844230769231,0.0032470414201184253,0.0038461538461539435,1.0,1.0
0.0,0.846153846154,0.857692307692,0.852564102564,0.009829881656804795,0.011538461538461608,1.0,0.0
0.0,0.85,0.861538461538,0.856730769231,0.009874260355029455,0.011538461538461386,1.0,1.0
0.0,0.846153846154,0.85,0.848076923077,0.00326183431952671,0.0038461538461539435,1.0,0.0
0.0,0.842307692308,0.846153846154,0.844230769231,0.0032470414201184253,0.0038461538461539435,1.0,1.0
0.0,0.842307692308,0.846153846154,0.844230769231,0.0032470414201184253,0.0038461538461539435,1.0,0.0
0.0,0.846153846154,0.85,0.848076923077,0.00326183431952671,0.0038461538461539435,1.0,1.0
0.0,0.85,0.85,0.85,0.0,0.0,1.0,0.0
0.0,0.85,0.85,0.85,0.0,0.0,1.0,1.0
0.0,0.85,0.85,0.85,0.0,0.0,1.0,0.0
