ts,value
2017-12-31 01:48:34.243,1.0
2017-12-31 02:37:34.245,0.0
2017-12-31 03:38:04.246,1.0
2017-12-31 04:48:04.246,0.0
2017-12-31 15:14:34.241,1.0
2017-12-31 15:15:34.241,1.0
2017-12-31 15:56:04.241,1.0
2017-12-31 16:09:04.241,0.0
2017-12-31 16:27:34.245,1.0
2017-12-31 17:20:34.241,0.0
2017-12-31 18:01:04.245,1.0
2017-12-31 18:46:04.246,0.0
2017-12-31 20:10:04.246,1.0
2017-12-31 23:07:34.243,0.0
2018-01-01 01:51:04.246,1.0
2018-01-01 03:02:04.243,0.0
2018-01-01 04:07:34.245,1.0
2018-01-01 05:23:34.241,0.0
2018-01-01 16:14:34.241,1.0
2018-01-01 16:20:04.241,0.0
2018-01-01 17:17:04.241,1.0
2018-01-01 17:18:21.316,0.0
2018-01-01 17:24:04.246,1.0
2018-01-01 17:24:34.246,0.0
2018-01-01 18:10:04.240,1.0
2018-01-01 19:00:34.245,0.0
2018-01-01 19:04:04.241,1.0
2018-01-01 20:26:34.245,0.0
2018-01-01 20:30:04.241,1.0
2018-01-02 00:06:34.242,0.0
2018-01-02 00:54:34.241,1.0
2018-01-02 00:57:04.246,0.0
2018-01-02 02:15:34.243,1.0
2018-01-02 03:07:34.243,0.0
2018-01-02 03:18:34.241,1.0
2018-01-02 03:32:04.241,0.0
2018-01-02 03:35:34.241,1.0
2018-01-02 03:38:34.245,0.0
2018-01-02 03:39:34.245,1.0
2018-01-02 03:40:53.324,0.0
2018-01-02 05:04:04.246,0.0
2018-01-02 17:28:34.240,1.0
2018-01-02 17:43:34.244,0.0
2018-01-02 20:27:04.245,1.0
2018-01-02 21:17:34.246,0.0
2018-01-02 21:36:04.246,1.0
2018-01-03 00:19:34.246,0.0
2018-01-03 02:45:04.245,1.0
2018-01-03 03:21:34.245,0.0
2018-01-03 03:39:34.241,1.0
2018-01-03 06:04:34.241,0.0
2018-01-03 09:06:04.241,1.0
2018-01-03 09:32:44.408,1.0
2018-01-03 17:39:12.246,1.0
2018-01-03 17:47:42.241,0.0
2018-01-03 18:58:12.245,1.0
2018-01-03 19:05:42.241,0.0
2018-01-03 19:21:42.242,1.0
2018-01-03 20:03:12.243,0.0
2018-01-03 20:37:42.245,1.0
2018-01-03 21:24:12.241,0.0
2018-01-03 21:55:42.245,1.0
2018-01-04 00:39:42.245,0.0
2018-01-04 02:26:42.245,1.0
2018-01-04 03:08:12.246,0.0
2018-01-04 03:25:42.241,1.0
2018-01-04 03:38:42.245,0.0
2018-01-04 03:50:12.246,1.0
2018-01-04 04:05:42.245,0.0
2018-01-04 14:46:42.245,1.0
2018-01-04 15:12:12.245,0.0
2018-01-04 15:16:12.245,1.0
2018-01-04 15:28:42.245,0.0
2018-01-04 16:03:42.245,1.0
2018-01-04 19:18:42.245,0.0
2018-01-04 19:46:12.241,1.0
2018-01-04 20:13:42.245,0.0
2018-01-04 20:34:12.245,1.0
2018-01-04 21:26:12.245,0.0
2018-01-04 22:18:12.241,1.0
2018-01-05 01:34:42.245,0.0
2018-01-05 02:41:42.245,1.0
2018-01-05 02:46:12.241,0.0
2018-01-05 02:54:42.245,1.0
2018-01-05 03:42:12.245,0.0
2018-01-05 03:48:12.245,1.0
2018-01-05 06:02:12.245,0.0
2018-01-05 16:40:12.241,1.0
2018-01-05 17:17:12.241,0.0
2018-01-05 17:41:12.246,1.0
2018-01-05 18:05:42.245,0.0
2018-01-05 18:16:42.243,1.0
2018-01-05 18:27:12.245,0.0
2018-01-05 18:46:12.246,1.0
2018-01-05 19:31:12.243,0.0
2018-01-05 19:34:42.245,1.0
2018-01-05 21:59:42.241,0.0
2018-01-05 22:07:12.241,1.0
2018-01-05 22:46:12.241,0.0
2018-01-06 00:33:42.246,1.0
2018-01-06 00:34:42.243,0.0
2018-01-06 00:37:42.241,1.0
2018-01-06 00:51:12.241,0.0
2018-01-06 00:56:12.241,1.0
2018-01-06 01:55:12.241,0.0
2018-01-06 02:46:12.243,1.0
2018-01-06 02:47:42.245,1.0
2018-01-06 02:59:12.242,1.0
2018-01-06 03:32:12.240,0.0
2018-01-06 04:59:12.241,1.0
2018-01-06 06:11:12.240,0.0
2018-01-06 16:34:42.244,1.0
2018-01-06 16:51:42.241,0.0
2018-01-06 17:54:12.245,1.0
2018-01-06 17:58:12.244,0.0
2018-01-06 18:57:12.241,1.0
2018-01-06 19:39:42.245,0.0
2018-01-06 19:45:42.245,1.0
2018-01-06 19:56:42.245,0.0
2018-01-06 21:10:42.244,1.0
2018-01-06 21:45:42.241,0.0
2018-01-06 21:56:12.245,1.0
2018-01-07 00:12:12.241,0.0
2018-01-07 00:31:42.241,1.0
2018-01-07 02:10:12.241,0.0
2018-01-07 03:29:12.241,1.0
2018-01-07 04:04:12.241,0.0
2018-01-07 04:20:12.242,1.0
2018-01-07 04:23:12.241,0.0
2018-01-07 04:44:42.240,1.0
2018-01-07 04:45:12.241,0.0
2018-01-07 05:04:12.240,1.0
2018-01-07 06:34:42.241,0.0
2018-01-07 16:48:42.254,1.0
2018-01-07 17:07:42.245,0.0
2018-01-07 17:23:42.241,1.0
